Income,Firstdate,Lastdate,Amount,rfaf2,rfaa2,pepstrfl,glast,gavr,class
5,8905,9609,0.17,3,F,X,3,18.58,0
0,8608,9512,0.23,1,E,X,14,8.75,0
5,8612,9601,0.19,2,F,X,17,7.92,0
5,9301,9602,0.2,3,G,X,20,12.7,0
5,9010,9511,0.16,1,F,X,15,8.33,0
3,9402,9512,0.11,1,F,X,15,13.75,0
3,9508,9508,0.08,1,F,0,20,20,0
7,9501,9512,0.09,1,F,0,15,12.5,0
1,8903,9602,0.14,2,F,0,5,10.15,0
5,9401,9512,0.19,3,E,0,10,7.5,0
0,8905,9601,0.15,1,G,0,26,16.88,0
0,9109,9601,0.12,1,F,0,21,20.71,0
2,9401,9512,0.11,1,F,0,20,10,0
3,9302,9512,0.13,1,F,0,17,13,0
3,9203,9510,0.11,1,F,0,20,11.8,0
7,9203,9506,0.23,3,E,X,11,9.25,0
2,9201,9506,0.08,1,F,0,20,13.5,0
3,9410,9512,0.16,3,E,X,10,7.6,0
5,9101,9601,0.09,1,F,0,20,12.4,0
5,9302,9602,0.19,2,F,0,20,12.12,0
4,9401,9512,0.2,3,F,X,15,8.42,0
4,8909,9512,0.25,1,G,X,40,24.05,0
5,9105,9603,0.21,2,F,X,15,9.9,0
1,8703,9511,0.26,1,E,X,12,6.66,0
0,8610,9512,0.35,2,E,X,10,4.03,0
5,9203,9504,0.07,1,F,0,20,20,0
3,8810,9511,0.16,1,E,X,10,17.27,0
0,9410,9510,0.08,1,G,0,25,25,0
5,8612,9509,0.2,1,E,X,12,7.85,0
1,8803,9503,0.14,1,E,0,14,15.72,0
2,9509,9509,0.07,1,F,0,15,15,0
5,9201,9512,0.2,2,F,X,18,11.9,0
0,8608,9603,0.29,3,D,X,6,7.12,0
2,9005,9601,0.11,1,F,0,16,10,0
3,9101,9509,0.2,2,F,X,15,8.45,0
2,9401,9601,0.13,1,G,X,35,21.4,0
2,9311,9511,0.08,1,F,0,15,13.33,0
2,9310,9512,0.13,2,G,0,25,18.2,0
5,9410,9511,0.09,1,F,0,20,12.5,0
2,9507,9507,0.05,1,G,0,30,30,0
0,8609,9508,0.22,2,E,X,10,5.57,0
0,8711,9602,0.21,3,G,X,33,18.73,0
0,9110,9603,0.16,1,F,X,16,11,0
6,9410,9601,0.14,3,E,0,13,11.25,0
5,9301,9512,0.25,4,E,X,10,8.5,0
5,9504,9602,0.12,3,G,0,25,18.33,0
5,9411,9506,0.1,1,F,0,16,13,0
6,9601,9601,0.07,1,F,0,20,20,0
5,9103,9504,0.09,1,G,X,30,32,0
7,8909,9610,0.14,3,E,X,10,11,0
5,9309,9601,0.1,2,F,0,20,14,0
2,8610,9605,0.25,1,E,X,18,6.36,0
0,8707,9610,0.19,1,F,X,23,14.21,0
1,9102,9504,0.07,1,F,0,20,16.66,0
6,9006,9511,0.19,2,G,0,36,22.69,0
5,8901,9512,0.17,1,G,X,35,19.08,0
2,9401,9512,0.09,1,F,0,15,12.33,0
2,9410,9511,0.08,1,G,0,25,15,0
2,9301,9504,0.09,1,F,0,19,16.25,0
1,9301,9511,0.23,2,E,X,12,8.9,0
3,9002,9512,0.08,2,G,0,15,20,0
5,9203,9512,0.07,1,G,0,26,20.33,0
4,9309,9509,0.08,1,F,0,20,12,0
2,8608,9509,0.19,1,E,X,12,6.85,0
4,9301,9507,0.07,1,F,0,15,13.33,0
0,9101,9508,0.19,1,G,X,25,25.9,0
4,9502,9602,0.09,1,F,0,20,12.5,0
5,9009,9508,0.24,1,E,X,13,7.13,0
0,8804,9512,0.4,2,G,0,25,8,0
2,9001,9512,0.18,1,G,X,25,11.18,0
5,8903,9603,0.2,3,F,X,20,8.27,0
2,8805,9603,0.15,2,F,0,16,12.18,0
3,9209,9510,0.12,2,G,0,25,11.4,0
2,9411,9506,0.07,1,G,0,25,20,0
6,9202,9512,0.18,1,F,X,20,13.66,0
2,9004,9512,0.27,3,D,X,5,6.15,0
5,9401,9702,0.06,1,F,0,0,13.66,0
4,8809,9602,0.22,1,G,X,25,16.91,0
2,9602,9602,0.07,1,F,0,20,20,0
3,9309,9511,0.2,1,F,X,18,8,0
4,9411,9506,0.09,1,F,0,20,12.5,0
0,9509,9509,0.05,1,G,0,25,25,0
4,8809,9512,0.11,1,G,X,25,20.37,0
0,9603,9603,0.1,1,F,0,23,23,0
4,9209,9511,0.1,2,F,0,15,14.25,0
5,9102,9512,0.16,2,G,X,25,20.2,0
4,9209,9509,0.09,1,F,0,20,14.5,0
1,9506,9601,0.12,3,F,X,20,15,0
5,9209,9510,0.26,1,F,X,20,15.43,0
5,8909,9512,0.14,2,F,0,20,12.75,0
0,8810,9602,0.21,4,G,X,25,18.46,0
0,9509,9509,0.06,1,G,0,25,25,0
0,9002,9508,0.31,1,E,X,10,8.47,0
2,9502,9512,0.09,1,F,0,15,12.5,0
1,9503,9511,0.09,1,F,0,15,10,0
1,8712,9601,0.29,3,E,X,13,7.35,0
1,9402,9507,0.14,1,F,0,15,10.6,0
0,9509,9509,0.14,1,G,0,25,25,0
2,9109,9601,0.21,3,E,0,10,7,0
0,9302,9504,0.09,1,G,0,50,22.5,0
5,8610,9509,0.5,1,F,X,15,10.65,0
7,9502,9603,0.21,4,D,X,6,5.2,1
0,8612,9504,0.2,1,G,X,30,20.5,0
4,9309,9506,0.07,2,G,0,40,31.66,0
5,8610,9603,0.37,1,E,X,10,7.16,0
4,8909,9602,0.12,2,F,0,15,13.57,0
7,9101,9511,0.08,1,G,0,25,17.75,0
4,9110,9506,0.17,1,G,0,30,6.44,0
4,8910,9510,0.37,1,E,X,10,7.21,1
7,9504,9504,0.06,1,F,0,15,15,0
3,9102,9511,0.18,3,E,X,5,5.77,0
7,9506,9511,0.12,1,F,0,3,11.5,0
0,9312,9508,0.08,1,G,0,30,23.33,0
0,8612,9606,0.26,1,F,X,14,11.81,0
7,9410,9509,0.08,1,F,0,20,20,0
0,8612,9509,0.24,1,F,X,20,12.12,0
4,9310,9602,0.14,3,F,0,13,10.2,0
0,9503,9602,0.12,2,F,X,15,9.66,0
0,8612,9512,0.34,2,G,X,32,9.8,0
0,9102,9603,0.2,1,F,X,15,9.18,0
4,9201,9602,0.14,3,F,X,15,11.57,0
3,8701,9601,0.16,1,G,X,25,16.46,0
7,9402,9507,0.13,1,F,0,20,21.4,0
7,9110,9512,0.12,1,F,0,20,12.16,0
0,9301,9505,0.15,1,G,X,45,30.85,0
7,9507,9507,0.06,1,G,0,25,25,0
3,8611,9510,0.22,1,F,X,16,10.43,0
4,8608,9511,0.16,2,E,X,12,6.63,0
6,9010,9612,0.23,2,F,X,10,10.4,0
4,9506,9506,0.06,1,F,0,15,15,0
4,8909,9512,0.16,1,F,0,15,9.9,0
1,9310,9603,0.23,3,E,0,11,8.77,0
5,9409,9512,0.11,1,F,X,15,11.66,0
1,9002,9601,0.51,3,D,X,5,5.47,0
5,9602,9602,0.07,1,G,0,25,25,0
2,9310,9608,0.27,4,D,X,4,3.66,0
0,9310,9511,0.23,1,F,X,17,14.83,0
7,9309,9510,0.07,1,F,0,16,13,0
6,9501,9511,0.16,2,F,0,16,12,0
0,9001,9511,0.15,3,F,X,20,15.77,0
2,8912,9511,0.22,1,F,X,8,7.33,0
2,8609,9510,0.44,3,D,X,5,5.04,0
0,8809,9509,0.17,3,F,X,15,9.1,0
2,9111,9602,0.29,3,F,X,20,14.05,0
4,9212,9512,0.07,1,F,0,20,15,0
2,8801,9507,0.47,3,D,X,5,4.63,0
0,8608,9601,0.3,4,D,X,5,5.26,1
0,8608,9601,0.57,4,E,X,11,9.06,1
5,9112,9602,0.17,2,G,X,25,31.8,0
1,8703,9603,0.58,4,F,X,20,5.88,0
0,8701,9603,0.32,2,F,X,19,12.07,0
3,8612,9512,0.33,4,F,X,20,12,0
2,9506,9512,0.14,3,E,0,6,8.66,0
5,9303,9509,0.1,2,F,0,17,13,0
0,9506,9601,0.13,3,E,0,10,10.66,0
7,9512,9512,0.08,1,F,0,20,20,0
2,8707,9504,0.2,1,F,X,15,5.44,0
6,9602,9602,0.07,1,F,0,20,20,0
4,9103,9602,0.2,4,D,X,5,5.54,0
5,9210,9506,0.13,1,F,0,15,9.33,1
1,9010,9504,0.18,1,F,0,20,8.88,0
0,9209,9512,0.2,1,G,X,25,10.57,0
5,9409,9601,0.13,3,F,0,10,16.5,0
0,8903,9603,0.35,4,E,X,14,4.04,0
2,9104,9602,0.22,4,D,0,5,5,0
5,8612,9506,0.25,1,E,X,11,6.33,0
4,8809,9608,0.13,1,F,0,25,15.53,0
4,8608,9512,0.25,1,E,X,10,4.44,0
0,9410,9511,0.2,4,F,X,6,13.83,0
5,9202,9504,0.13,1,F,X,20,17.14,0
7,9002,9504,0.1,1,G,0,26,18.33,0
7,9401,9601,0.08,1,F,0,20,15,0
7,8612,9509,0.37,3,D,X,6,6.65,0
2,9312,9602,0.1,2,F,0,15,13.66,0
5,9103,9509,0.09,1,F,X,15,12,0
0,9410,9511,0.09,2,F,0,20,13.75,0
2,8803,9506,0.15,1,G,X,35,16.9,0
3,8704,9512,0.17,1,F,X,24,14.5,0
4,8810,9608,0.15,2,G,X,20,19.13,0
4,9406,9512,0.09,2,F,0,15,11.66,0
7,9310,9504,0.11,1,F,0,15,11.25,0
1,8703,9603,0.19,1,E,X,14,14.58,0
0,9601,9601,0.07,1,F,0,15,15,0
5,8702,9511,0.28,2,E,X,8,8.14,0
5,9501,9508,0.08,1,F,0,15,10,0
7,9102,9506,0.19,3,E,X,9,6.88,1
0,9302,9508,0.13,1,F,X,16,12.83,0
2,9111,9603,0.16,3,E,0,10,12.37,0
1,8608,9512,0.22,1,F,X,22,8.94,0
1,8801,9511,0.24,1,F,X,15,11.89,0
2,9503,9603,0.16,3,G,0,36,25.25,0
0,8702,9506,0.21,1,F,X,15,9.46,0
0,8910,9612,0.16,2,G,X,25,18.41,0
2,9310,9601,0.55,4,E,X,9,7,0
5,8903,9506,0.15,1,F,X,15,8.22,0
4,9302,9601,0.15,3,E,0,10,7.6,0
4,9302,9601,0.09,1,F,0,15,9.66,0
1,8609,9603,0.29,1,E,X,10,3.16,0
0,9204,9512,0.12,1,G,0,25,16.66,0
5,9102,9603,0.12,2,G,0,20,15,0
5,9601,9601,0.06,1,F,0,23,23,0
2,8703,9504,0.17,1,G,X,25,16.64,0
6,9509,9511,0.11,2,F,0,20,20,0
1,9011,9506,0.09,1,G,0,40,32.2,0
3,9511,9603,0.11,2,G,0,35,30,0
3,9212,9602,0.17,3,E,0,10,5.66,0
0,9410,9511,0.08,1,F,0,20,20,0
0,9407,9506,0.1,2,F,0,11,12,0
5,9601,9601,0.07,1,F,0,20,20,0
0,8809,9612,0.22,2,F,X,13,10.06,0
3,9303,9602,0.21,4,G,X,45,35.1,0
5,9502,9601,0.11,2,G,X,27,24,0
5,9506,9512,0.13,3,E,0,7,7.33,0
3,8712,9510,0.15,1,F,X,19,10,0
1,8609,9603,0.34,4,D,X,2,3.08,0
7,9111,9507,0.07,1,G,0,30,23.33,0
3,8610,9603,0.37,3,D,X,5,5.03,0
4,8712,9508,0.31,1,E,X,11,9.58,0
6,9302,9510,0.15,3,F,0,11,9.5,0
0,8610,9511,0.18,1,E,X,10,9,0
0,9509,9509,0.07,1,F,0,15,15,0
3,9202,9609,0.1,1,F,0,20,13.85,0
1,9004,9510,0.1,1,G,0,25,16.16,0
0,8801,9512,0.15,3,G,0,25,25.36,0
3,8801,9512,0.2,2,G,0,28,18.78,0
0,9411,9512,0.19,4,E,X,8,7,0
0,8902,9601,0.2,2,E,X,10,5.46,0
4,8909,9601,0.24,2,F,X,20,14.88,1
0,9110,9509,0.16,1,F,X,15,11.11,0
5,9403,9511,0.15,3,E,X,13,10.2,0
3,8812,9511,0.15,2,E,X,14,8.55,0
4,9511,9601,0.1,2,F,0,10,12.5,0
7,9601,9601,0.07,1,G,0,30,30,0
3,9001,9610,0.25,2,E,X,20,9.8,0
1,9602,9602,0.07,1,F,0,15,15,0
6,9506,9601,0.18,4,F,0,5,8.75,0
2,8704,9603,0.58,4,D,X,1,3.52,0
5,9103,9508,0.2,4,F,X,15,11.63,0
2,9409,9601,0.23,4,D,X,5,4.42,0
2,9510,9510,0.06,1,G,0,30,30,0
4,9211,9701,0.12,2,G,0,25,26.25,0
6,9401,9512,0.11,2,G,0,25,18.75,0
0,9602,9602,0.07,1,F,0,20,20,0
4,9112,9509,0.08,1,F,0,20,42.5,0
0,9109,9602,0.19,3,G,X,50,33.5,0
5,9302,9512,0.26,4,D,0,6,5.14,0
4,9403,9509,0.09,1,F,0,21,17,0
7,9501,9601,0.22,2,F,0,20,10,0
7,9401,9509,0.12,1,F,X,20,15.71,0
6,9602,9602,0.07,1,F,0,20,20,0
5,9201,9607,0.2,2,E,X,10,8.14,0
2,8704,9603,0.52,4,D,X,6,6.14,0
5,9401,9512,0.17,3,F,0,15,8.66,0
4,8609,9512,0.63,4,D,X,5,3.58,0
1,8610,9512,0.26,4,E,X,5,5.8,0
5,8702,9601,0.11,2,G,0,25,18.87,0
2,9110,9601,0.13,2,E,0,12,10,0
5,8809,9602,0.33,4,G,X,10,21.22,0
0,9207,9512,0.2,4,G,0,30,20.55,0
0,9301,9506,0.17,1,F,0,20,9.57,0
0,8809,9601,0.19,2,E,X,10,5.54,0
6,9309,9511,0.2,3,E,0,5,6.87,0
5,8809,9603,0.22,4,E,X,12,10.11,1
4,9103,9507,0.13,1,F,X,20,11.66,0
3,9008,9512,0.19,2,E,0,11,8.58,1
1,8612,9702,0.23,4,E,X,5,7.88,0
2,9601,9601,0.07,1,F,0,20,20,0
7,9210,9607,0.14,2,G,0,25,27.08,0
0,8707,9606,0.21,1,E,X,10,11.04,0
2,9501,9601,0.16,3,E,X,10,8.75,0
5,9302,9601,0.14,3,E,0,8,8.5,0
6,9010,9508,0.16,1,F,0,15,8.5,0
1,8706,9512,0.32,4,E,X,10,7.07,0
2,8806,9507,0.22,2,E,X,10,8.6,0
6,9410,9510,0.09,1,F,0,20,15,0
5,9410,9508,0.08,1,G,0,25,17.5,0
5,9501,9603,0.13,2,F,X,15,12.33,0
5,8608,9506,0.55,1,E,X,10,7.37,0
1,8612,9510,0.09,1,F,0,16,11.4,0
4,9509,9509,0.07,1,F,0,15,15,0
4,8807,9512,0.2,2,E,X,10,7.93,0
4,9501,9512,0.08,1,G,0,25,22.5,0
7,9601,9601,0.07,1,G,0,25,25,0
0,9409,9507,0.06,1,G,0,25,25,0
5,9202,9602,0.22,4,D,X,8,6.18,0
3,8608,9602,0.62,4,D,X,5,3.16,1
3,8608,9509,0.29,2,E,X,10,5.86,0
1,9109,9512,0.28,1,E,X,10,6.62,0
7,8610,9510,0.26,3,G,X,30,12.8,0
7,9603,9603,0.11,1,F,0,15,15,0
1,9602,9602,0.07,1,F,0,20,20,0
3,9401,9602,0.18,3,E,0,12,8.66,0
7,8611,9603,0.25,1,E,X,10,4.41,0
1,9009,9509,0.23,2,E,X,10,7,0
2,8612,9603,0.17,2,E,X,12,7.81,0
2,8912,9512,0.11,1,F,0,16,13.33,0
5,8704,9509,0.22,1,E,X,10,8.94,0
6,9401,9506,0.24,2,G,X,31,21.88,0
7,9409,9512,0.1,2,G,0,25,21.66,0
7,8612,9612,0.19,2,E,X,10,8,0
5,9101,9511,0.26,2,F,X,16,11.17,0
2,9212,9511,0.1,1,F,0,20,15,0
5,9310,9511,0.26,4,D,X,7,5.1,1
5,9106,9603,0.32,4,E,X,10,8.75,0
4,9111,9512,0.11,2,G,0,25,17,0
0,8610,9509,0.18,1,E,X,14,11.1,0
1,9201,9604,0.15,3,G,0,20,17.5,0
3,9301,9512,0.35,4,E,X,10,7.68,0
6,9410,9601,0.17,3,E,0,10,8,0
7,9505,9505,0.05,1,F,0,15,15,0
5,9409,9512,0.07,1,G,0,25,17.5,0
5,9102,9508,0.18,1,F,X,15,11.72,0
4,8801,9603,0.23,1,E,X,14,10.9,0
2,9501,9512,0.13,1,F,0,20,11.5,0
2,8902,9512,0.16,4,E,0,10,6.77,0
0,9309,9512,0.08,1,G,0,27,20.66,0
1,9510,9512,0.1,2,F,0,20,15,0
5,9404,9603,0.13,2,F,X,16,10.25,0
3,9501,9601,0.14,2,G,0,12,15.66,0
0,9401,9601,0.33,4,F,X,10,7.9,0
6,9010,9506,0.11,1,F,0,18,10.4,0
6,9301,9504,0.15,1,F,0,19,19.14,0
1,9410,9702,0.21,4,F,0,15,12,0
5,8905,9512,0.12,2,F,0,20,16,0
2,9201,9603,0.18,4,E,0,12,7.55,0
0,8610,9506,0.5,3,D,X,4,3.34,0
4,9511,9511,0.08,1,F,0,15,15,0
2,8702,9601,0.17,1,G,X,25,11.33,0
5,9310,9507,0.13,1,F,0,15,8.6,0
4,9410,9611,0.2,3,E,0,10,6.66,0
0,9102,9506,0.11,1,F,0,20,15,0
2,9103,9602,0.08,1,G,0,30,21.25,0
0,9310,9511,0.21,1,F,X,17,17.11,0
5,9201,9510,0.12,1,F,0,15,8,1
2,9401,9509,0.06,1,F,0,16,13,0
2,8707,9611,0.15,3,F,0,0,22.76,0
1,9002,9601,0.17,2,F,X,20,10.54,0
0,9509,9509,0.07,1,F,0,20,20,0
4,8910,9512,0.16,1,G,X,25,15,0
6,9412,9612,0.1,1,F,0,13,12.25,0
4,9001,9512,0.15,1,F,X,20,8.75,0
0,8707,9512,0.24,1,E,X,10,8.18,0
5,9001,9511,0.23,2,F,X,14,8.86,1
5,9506,9506,0.05,1,G,0,25,25,0
4,9509,9509,0.05,1,G,0,25,25,0
4,9511,9511,0.08,1,F,0,20,20,0
6,9309,9602,0.13,3,G,0,31,23.37,0
2,8701,9511,0.3,2,E,X,11,7.05,0
4,9401,9508,0.13,2,G,X,15,12.66,0
7,9501,9512,0.09,1,F,0,15,12.5,0
5,9506,9506,0.06,1,F,0,20,20,0
0,9310,9510,0.07,1,F,0,15,18.33,0
5,8903,9701,0.15,1,G,X,33,27.07,0
2,8804,9510,0.29,1,E,X,10,3.85,0
4,9112,9508,0.37,2,E,X,13,10.93,0
2,9507,9507,0.05,1,F,0,15,15,0
3,8707,9507,0.25,1,E,X,10,7.38,0
4,9602,9603,0.12,2,F,0,15,14,0
0,9201,9510,0.09,1,F,0,15,14,0
7,9109,9504,0.15,1,F,0,15,8.6,0
1,9512,9512,0.07,1,G,0,50,50,0
0,8803,9503,0.09,1,F,0,16,11.4,0
0,9401,9601,0.24,4,E,X,12,10.33,0
1,8609,9612,0.35,3,F,X,15,9.78,0
2,9104,9601,0.26,4,D,X,6,4.93,0
4,8910,9701,0.4,4,D,0,10,5.36,0
4,9402,9512,0.13,2,F,0,13,11,0
7,9102,9512,0.33,4,E,X,10,9.61,0
4,9302,9701,0.3,4,F,X,30,14.72,0
0,9002,9510,0.32,3,D,0,7,5.28,0
5,9509,9509,0.07,1,F,0,15,15,0
0,9203,9512,0.2,2,F,X,15,11.09,0
5,8701,9601,0.32,3,D,X,5,4.15,0
0,8608,9602,0.35,2,F,X,15,4.64,0
5,9509,9603,0.15,3,F,0,20,13.33,0
5,8812,9512,0.21,1,F,0,15,10.8,0
5,9502,9602,0.09,1,F,0,15,10,0
5,9512,9512,0.09,1,G,0,25,25,0
0,8612,9511,0.24,1,E,X,10,5.22,0
2,8706,9509,0.1,2,G,X,25,23.33,0
0,9105,9602,0.14,1,G,X,25,26.87,0
5,9101,9601,0.13,3,E,0,10,7.5,0
0,9509,9509,0.08,1,F,0,20,20,0
7,8808,9512,0.23,2,F,X,10,9.33,0
4,9110,9602,0.27,2,E,X,10,6.73,0
5,8812,9511,0.1,1,G,0,27,18.5,0
1,8701,9512,0.14,2,E,X,10,9.07,0
7,9502,9603,0.16,3,E,X,12,9.5,1
3,9502,9510,0.09,1,F,0,15,15,0
0,9004,9510,0.13,2,F,0,20,13.42,0
4,8703,9602,0.15,3,G,X,30,24,0
2,9506,9601,0.33,4,F,X,13,11.37,0
4,9410,9512,0.2,4,F,0,7,12,0
5,8702,9512,0.23,1,F,X,19,10.16,0
0,9210,9512,0.17,2,F,0,17,13.12,0
6,9506,9512,0.1,2,G,0,25,17.5,0
5,9204,9603,0.13,1,F,0,20,11.16,0
4,8609,9602,0.25,3,F,X,20,10.75,0
0,9204,9601,0.14,2,F,0,15,11,0
4,8912,9512,0.09,1,F,0,23,14.6,0
1,9409,9512,0.1,2,F,0,20,15,0
1,9201,9505,0.23,1,F,X,20,15.46,0
3,9101,9602,0.14,2,G,X,20,12.5,0
6,9411,9601,0.08,1,G,0,25,20,0
4,8802,9512,0.31,2,F,X,10,11.15,0
4,9009,9512,0.11,1,F,0,16,12.16,0
5,9409,9512,0.08,1,F,0,15,12.5,0
7,9401,9602,0.11,2,F,0,20,12.5,0
4,9401,9601,0.09,1,F,0,20,13.33,0
4,9410,9506,0.12,2,F,0,20,14,0
2,9309,9512,0.35,2,F,X,15,12.07,0
1,9301,9512,0.17,2,G,X,25,11.62,0
6,8909,9512,0.14,2,G,X,5,7.57,0
4,9210,9506,0.25,2,E,X,14,11.08,0
4,9502,9602,0.1,1,F,0,15,10,0
2,8805,9603,0.1,2,G,0,25,16.83,0
0,9509,9509,0.06,1,F,0,20,20,0
0,9004,9511,0.18,2,E,X,10,10,0
2,9012,9511,0.13,1,F,0,17,14,0
0,9104,9601,0.2,2,F,X,15,7.09,0
0,8812,9512,0.15,1,F,X,15,9.88,0
7,9310,9602,0.23,3,G,X,27,16.77,0
4,9009,9601,0.22,4,D,X,5,4.83,0
4,8809,9512,0.45,2,E,X,10,3.38,0
0,8703,9512,0.32,2,E,X,10,9.14,0
3,8612,9602,0.16,2,F,0,15,8.66,0
2,9201,9603,0.23,4,E,X,13,9.08,0
4,9210,9510,0.13,2,F,X,20,14,0
0,8809,9601,0.12,1,F,0,19,13.57,0
0,9509,9509,0.05,1,F,0,24,24,0
4,9406,9601,0.1,1,F,0,15,10,0
5,9312,9602,0.33,4,D,X,4,4.72,1
5,9111,9601,0.1,2,F,X,21,18.6,0
5,8704,9601,0.22,1,E,X,10,6.5,0
3,9210,9508,0.32,3,E,X,9,5.93,0
0,9401,9512,0.08,1,F,0,19,17,0
7,8701,9601,0.21,1,E,X,12,7.07,0
5,9509,9509,0.06,1,F,0,20,20,0
0,9506,9506,0.05,1,G,0,25,25,0
4,8611,9601,0.26,4,E,X,10,10.68,0
3,9210,9504,0.15,1,G,0,25,9,0
5,8608,9509,0.3,1,F,X,15,6.18,0
5,9506,9509,0.09,2,F,0,15,10,0
2,8701,9604,0.3,1,E,X,20,10.36,0
4,8812,9510,0.33,3,D,X,8,7.13,0
4,9602,9602,0.08,1,F,0,15,15,0
2,9301,9511,0.13,2,F,0,15,14.33,0
5,9003,9602,0.24,3,E,X,10,6.73,0
3,9202,9510,0.22,1,G,X,25,18.57,0
7,8811,9511,0.27,2,E,X,10,7.55,0
4,9410,9508,0.2,4,E,X,10,10.75,0
0,8611,9603,0.13,1,G,0,30,20,0
0,9501,9510,0.08,1,F,0,15,15,0
2,9506,9506,0.06,1,F,0,15,15,0
3,9001,9601,0.13,1,F,0,15,7.71,0
7,9509,9509,0.07,1,F,0,15,15,0
2,9101,9504,0.12,1,F,X,18,12.14,0
1,8612,9603,0.3,4,D,0,5,4.95,0
6,8703,9510,0.12,1,F,0,20,13.25,0
5,9401,9504,0.05,1,G,0,30,27.5,0
0,9512,9601,0.15,2,F,0,3,9,0
3,8712,9512,0.15,1,F,X,15,9.66,0
7,9401,9512,0.11,1,F,0,17,11.66,1
2,8801,9701,0.23,2,F,X,25,16.43,0
6,9311,9509,0.13,2,F,0,17,15.4,0
1,9012,9511,0.07,1,G,0,15,19,0
5,9102,9603,0.15,1,F,0,15,7,0
5,9501,9601,0.11,2,F,0,20,17.33,0
7,9601,9601,0.07,1,F,0,20,20,0
2,9009,9512,0.11,1,G,X,25,18.71,0
6,9401,9510,0.05,1,G,0,25,22.5,0
2,9501,9505,0.11,1,G,0,35,28.33,0
5,8611,9511,0.21,3,E,X,10,6.21,0
0,8905,9601,0.1,2,G,0,30,17.5,1
5,9309,9601,0.26,4,E,X,10,6.5,0
6,9302,9504,0.1,1,F,0,15,10.25,0
3,8611,9602,0.28,3,D,X,9,5.63,0
5,9309,9601,0.29,2,E,X,12,9.36,0
1,9405,9511,0.26,4,D,X,8,7.87,0
3,9310,9508,0.16,2,F,X,11,11.6,0
3,9102,9504,0.18,1,F,X,20,9.8,0
2,9102,9602,0.15,2,F,X,16,9.1,0
5,8909,9504,0.17,1,F,X,17,12.66,0
4,9409,9611,0.23,4,E,X,5,6.11,0
4,9509,9509,0.06,1,F,0,20,20,0
0,8612,9603,0.11,1,G,0,30,14.28,0
7,9601,9601,0.07,1,F,0,15,15,0
0,8612,9510,0.17,1,F,0,19,13.75,0
0,9602,9602,0.06,1,F,0,23,23,0
2,8701,9512,0.3,1,E,X,10,7.34,0
0,9602,9603,0.14,2,F,0,10,15,0
7,8705,9512,0.35,4,E,X,8,6.82,0
0,8803,9512,0.24,2,E,X,10,11,0
4,9506,9506,0.05,1,G,0,25,25,0
0,8705,9612,0.31,1,F,X,34,19.83,0
4,8810,9603,0.24,4,D,X,5,5.25,0
3,9210,9505,0.11,1,F,0,15,11.87,0
3,9503,9510,0.06,1,F,0,15,17.66,0
5,9110,9511,0.16,1,G,0,25,12.44,0
0,9203,9510,0.22,2,E,X,10,9.66,0
0,9210,9601,0.06,1,F,0,20,25,0
4,8811,9602,0.16,3,F,0,20,13.33,0
0,9101,9601,0.26,4,F,X,16,11.26,0
4,9103,9602,0.17,2,E,0,13,11.66,0
7,9509,9509,0.05,1,G,0,50,50,0
3,8706,9510,0.17,1,F,X,15,9,0
7,9402,9601,0.24,4,F,X,15,6.88,0
4,9302,9505,0.25,1,F,0,15,7.66,0
5,9502,9508,0.09,1,F,0,21,18,0
0,9601,9601,0.07,1,F,0,15,15,0
4,8809,9603,0.18,1,E,X,12,10.9,0
5,9506,9506,0.06,1,F,0,20,20,0
6,9603,9603,0.2,1,F,0,23,23,0
4,8804,9511,0.17,1,F,0,15,9.41,0
0,9009,9603,0.2,2,E,0,9,6.65,0
7,9603,9603,0.1,1,F,0,23,23,0
5,9203,9505,0.13,1,G,X,25,15,0
6,9412,9601,0.09,1,F,0,20,15,0
5,9502,9601,0.11,2,G,0,31,22.01,0
5,8608,9511,0.29,1,E,X,10,5.65,0
4,9012,9603,0.19,3,G,0,20,16,0
1,9201,9603,0.12,3,F,0,17,12.83,0
5,9202,9511,0.21,3,E,X,10,8.75,0
0,9509,9509,0.06,1,G,0,25,25,0
5,9107,9512,0.21,4,F,0,15,7.45,0
2,9601,9601,0.07,1,F,0,15,15,0
3,9310,9602,0.26,4,E,X,14,8.45,0
5,9002,9601,0.29,4,E,X,5,6.88,1
2,9002,9511,0.13,2,F,0,18,11.37,1
2,9102,9512,0.19,1,F,0,15,14.5,0
5,9401,9510,0.09,1,F,0,20,16.66,0
0,9309,9601,0.08,1,F,0,12,11.75,0
4,9501,9511,0.15,2,F,0,15,11.25,0
0,9412,9512,0.18,1,G,0,25,20,0
7,8610,9504,0.24,1,E,X,11,5.6,0
1,8701,9510,0.26,2,G,X,20,11.28,0
6,9402,9508,0.16,2,F,X,15,13.83,0
7,9104,9504,0.12,1,G,0,40,23.71,0
4,8612,9603,0.25,1,E,X,10,8.27,0
2,8703,9602,0.19,1,F,X,16,10.61,0
6,9102,9511,0.2,1,G,X,15,26.52,0
3,9204,9512,0.1,1,F,0,15,11.4,0
5,9209,9512,0.16,2,G,0,25,25.12,1
0,9301,9610,0.13,2,F,0,15,13.85,0
0,8612,9512,0.34,2,E,X,12,8.25,0
5,8804,9603,0.19,3,D,0,7,4.54,0
4,8608,9510,0.2,1,G,X,30,23.25,0
0,9002,9702,0.28,4,G,X,30,20.88,0
